sample	weighted_NSTI
13414.46.gill.R1.fastq.gz	0.41529998702583587
13414.46.hg.R1.fastq.gz	0.0858426995515695
13414.46.midgut.R1.fastq.gz	0.1024852224502238
13414.46.skin.R1.fastq.gz	0.047795542497555646
13414.47.gill.R1.fastq.gz	0.29042796971414525
13414.47.hg.R1.fastq.gz	0.3795085099493394
13414.47.midgut.R1.fastq.gz	0.14473540314265934
13414.47.skin.R1.fastq.gz	0.14210815041189243
13414.48.gill.R1.fastq.gz	0.15861814089256998
13414.48.hg.R1.fastq.gz	0.005662419347037484
13414.48.midgut.R1.fastq.gz	0.10422894488303915
13414.48.skin.R1.fastq.gz	0.20666389857921022
13414.49.gill.R1.fastq.gz	0.20092527989888045
13414.49.hg.R1.fastq.gz	0.13919563134444551
13414.49.midgut.R1.fastq.gz	0.027093150685370434
13414.49.skin.R1.fastq.gz	0.09961919608102063
13414.5.gill.R1.fastq.gz	0.037559688693757996
13414.5.hg.R1.fastq.gz	0.08430944695700726
13414.5.midgut.R1.fastq.gz	0.058555966198215126
13414.5.skin.R1.fastq.gz	0.021765738900008453
13414.50.gill.R1.fastq.gz	0.07528753603530977
13414.50.hg.R1.fastq.gz	0.043415425953388646
13414.50.midgut.R1.fastq.gz	0.020378415909324363
13414.50.skin.R1.fastq.gz	0.0807378024691358
13414.51.gill.R1.fastq.gz	0.3538151908087762
13414.51.hg.R1.fastq.gz	0.11838569111398606
13414.51.midgut.R1.fastq.gz	0.13418673633524497
13414.51.skin.R1.fastq.gz	0.18482165353224966
13414.52.gill.R1.fastq.gz	0.0534288980684794
13414.52.hg.R1.fastq.gz	0.17497240988406698
13414.52.midgut.R1.fastq.gz	0.14932921346274397
13414.52.skin.R1.fastq.gz	0.05775824956168912
13414.53.gill.R1.fastq.gz	0.15842081619663662
13414.53.hg.R1.fastq.gz	0.4078463846812634
13414.53.midgut.R1.fastq.gz	0.043419488400445044
13414.53.skin.R1.fastq.gz	0.15754230727626486
13414.54.gill.R1.fastq.gz	0.20136950520911714
13414.54.hg.R1.fastq.gz	0.01366292816605213
13414.54.midgut.R1.fastq.gz	0.011618262304739075
13414.54.skin.R1.fastq.gz	0.0926347590812026
13414.55.gill.R1.fastq.gz	0.22435563216395765
13414.55.hg.R1.fastq.gz	0.22147437214150859
13414.55.midgut.R1.fastq.gz	0.27027451465621993
13414.55.skin.R1.fastq.gz	0.05419987049777419
13414.58.gill.R1.fastq.gz	0.15140171315570355
13414.58.hg.R1.fastq.gz	0.13149981853931295
13414.58.midgut.R1.fastq.gz	0.06076495467796778
13414.58.skin.R1.fastq.gz	0.5110612935073628
13414.59.gill.R1.fastq.gz	0.08629022253267148
13414.59.hg.R1.fastq.gz	0.08082809228881548
13414.59.midgut.R1.fastq.gz	0.04477613762040309
13414.59.skin.R1.fastq.gz	0.06798876335877863
13414.6.gill.R1.fastq.gz	0.0196088137188054
13414.6.hg.R1.fastq.gz	0.13091717697163374
13414.6.midgut.R1.fastq.gz	0.013698180254984598
13414.6.skin.R1.fastq.gz	0.01576591441241685
13414.60.gill.R1.fastq.gz	0.12081446075810957
13414.60.hg.R1.fastq.gz	0.12173405327912169
13414.60.midgut.R1.fastq.gz	0.19365501953452655
13414.60.skin.R1.fastq.gz	0.06784361815296461
13414.61.gill.R1.fastq.gz	0.1434121584416788
13414.61.hg.R1.fastq.gz	0.023717551574308854
13414.61.midgut.R1.fastq.gz	0.044053891615369184
13414.61.skin.R1.fastq.gz	0.034431766995432586
13414.62.gill.R1.fastq.gz	0.09853211865361096
13414.62.hg.R1.fastq.gz	0.11347691654183606
13414.62.midgut.R1.fastq.gz	0.14500285032909854
13414.62.skin.R1.fastq.gz	0.09631644691900076
13414.63.gill.R1.fastq.gz	0.08332901341594828
13414.63.hg.R1.fastq.gz	0.09081170714065864
13414.63.midgut.R1.fastq.gz	0.1351818526744075
13414.63.skin.R1.fastq.gz	0.1549268195598473
13414.64.gill.R1.fastq.gz	0.23205473282046024
13414.64.hg.R1.fastq.gz	0.06802333183856503
13414.64.midgut.R1.fastq.gz	0.21992985316872143
13414.64.skin.R1.fastq.gz	0.04320679058064517
13414.65.gill.R1.fastq.gz	0.25890916169208283
13414.65.hg.R1.fastq.gz	0.15154599597124577
13414.65.midgut.R1.fastq.gz	0.14731151204142418
13414.65.skin.R1.fastq.gz	0.14435640534596514
13414.66.gill.R1.fastq.gz	0.23368824874067332
13414.66.hg.R1.fastq.gz	0.22693761708722945
13414.66.midgut.R1.fastq.gz	0.14318593006801617
13414.66.skin.R1.fastq.gz	0.16552363584752636
13414.67.gill.R1.fastq.gz	0.014975040475678774
13414.67.hg.R1.fastq.gz	0.13895902796670112
13414.67.midgut.R1.fastq.gz	0.11581617462746337
13414.67.skin.R1.fastq.gz	0.11869137456378767
13414.68.gill.R1.fastq.gz	0.052003917674565435
13414.68.hg.R1.fastq.gz	0.10870449149099574
13414.68.midgut.R1.fastq.gz	0.24174631990549592
13414.68.skin.R1.fastq.gz	0.14743226655007297
13414.69.gill.R1.fastq.gz	0.07026776598865074
13414.69.hg.R1.fastq.gz	0.14148358580096745
13414.69.midgut.R1.fastq.gz	0.13326208279873036
13414.69.skin.R1.fastq.gz	0.07950886652281135
13414.7.gill.R1.fastq.gz	0.10239620373451931
13414.7.hg.R1.fastq.gz	0.33054870813983966
13414.7.midgut.R1.fastq.gz	0.11397432458115228
13414.7.skin.R1.fastq.gz	0.0438746150818499
13414.70.gill.R1.fastq.gz	0.03189390023172793
13414.70.midgut.R1.fastq.gz	0.04819059066088543
13414.70.skin.R1.fastq.gz	0.09591577000676518
13414.71.gill.R1.fastq.gz	0.121209259592464
13414.71.hg.R1.fastq.gz	0.17369446391004598
13414.71.midgut.R1.fastq.gz	0.03977161212869631
13414.71.skin.R1.fastq.gz	0.2392593569682735
13414.72.gill.R1.fastq.gz	0.04015130015238981
13414.72.hg.R1.fastq.gz	0.035461578440786
13414.72.midgut.R1.fastq.gz	0.1036725366080934
13414.72.skin.R1.fastq.gz	0.07568054893231878
13414.73.gill.R1.fastq.gz	0.1775764921079269
13414.73.hg.R1.fastq.gz	0.00834927517972282
13414.73.midgut.R1.fastq.gz	0.06348836254747298
13414.73.skin.R1.fastq.gz	0.1866601995490827
13414.74.gill.R1.fastq.gz	0.2630101411616714
13414.74.hg.R1.fastq.gz	0.10849969699903195
13414.74.midgut.R1.fastq.gz	0.10730467396553925
13414.74.skin.R1.fastq.gz	0.08300595628083798
13414.75.gill.R1.fastq.gz	0.1697871427481003
13414.75.hg.R1.fastq.gz	0.09815581613097764
13414.75.midgut.R1.fastq.gz	0.1276784966377367
13414.75.skin.R1.fastq.gz	0.12774225451117543
13414.76.gill.R1.fastq.gz	0.14772826035741793
13414.76.hg.R1.fastq.gz	0.14745692739198465
13414.76.midgut.R1.fastq.gz	0.15737376288372726
13414.76.skin.R1.fastq.gz	0.11394984247116044
13414.77.gill.R1.fastq.gz	0.09248294340568874
13414.77.hg.R1.fastq.gz	0.05074572161299178
13414.77.midgut.R1.fastq.gz	0.060652243886015554
13414.77.skin.R1.fastq.gz	0.049487029673735326
13414.78.gill.R1.fastq.gz	0.1961555377661897
13414.78.midgut.R1.fastq.gz	0.09122092950093383
13414.78.skin.R1.fastq.gz	0.3085354151691271
13414.79.gill.R1.fastq.gz	0.19134055767700872
13414.79.hg.R1.fastq.gz	0.05733599190760847
13414.79.midgut.R1.fastq.gz	0.02156067924380295
13414.79.skin.R1.fastq.gz	0.03818617919245656
13414.8.gill.R1.fastq.gz	0.10500566709783847
13414.8.hg.R1.fastq.gz	0.23205276289009497
13414.8.midgut.R1.fastq.gz	0.10368268999133447
13414.8.skin.R1.fastq.gz	0.05112505244669952
13414.80.gill.R1.fastq.gz	0.07380940800390434
13414.80.hg.R1.fastq.gz	0.10558605846846553
13414.80.midgut.R1.fastq.gz	0.06043070501539814
13414.80.skin.R1.fastq.gz	0.022509349050195582
13414.81.gill.R1.fastq.gz	0.004342689305912566
