"common_name","sample_type","collection_date","conservation_status","depth_high_range_m","depth_low_range_m","Depth_m","Diet","dist_to_dorsal_cm","distance_from_shore_m","distance_from_shore_m_log","evo_distanceto_mackerel_median_mya","evo_timetree_species_name","fish_collection_method","fl_cm","gape_cm","gi_cm","hab_notes","habitat_depth_level2","host_body_mass_index","host_common_name","host_height","host_height_vs_max_height_tl","host_scientific_name","host_subject_id","host_taxid","host_weight","mass_g","max_age","max_kg_grams","max_length_cm","max_tl_cm","method_gear","month","number_db","p_family","p_genus","p_genus_species_alternative","p_order","ratio_dorsal_to_tl","ratio_gape_to_tl","ratio_gi_to_tl","sample_type_descriptive","SAMPLE_TYPE","substrata_collection","swim_mode","swim_performance","tl_cm","trophic","p_genus_species"
"calico rockfish","gill",Black croaker,"DD","256","18","35","fish_ amphipods_ bivalves_ cephalopods_ shrimp_ copepods","5.2","3210","3.506505032","116","Sebastes dallii","hook and line survey","17.4","3.2","19","reef, hard bottom, sand reef interface","neritic","1.688834455","calico rockfish","18.3","73","Sebastes dallii","FMP_27","394690","103.5","103.5","12","not applicable","25.4","25","rod and reel","8","263","Sebastidae","Sebastes","Sebastes dallii","Perciformes","0.284153005","0.174863388","1.038251366","gill tissue","fish gill","kelp forrest","Labriform","generalist","18.3","3","Sebastes dallii"
"vermilion rockfish","gill",Black croaker,"NE","274","15","35","fish_ squid_ octopus_ shrimp","8.1","3210","3.506505032","116","Sebastes miniatus","hook and line survey","26.9","4.4","33.4","not applicable","neritic","1.483876784","vermilion rockfish","27.5","30","Sebastes miniatus","FMP_28","72087","308.6","308.6","60","6.8","76","91","rod and reel","8","219","Sebastidae","Sebastes","Sebastes miniatus","Perciformes","0.294545455","0.16","1.214545455","gill tissue","fish gill","kelp forrest","Labriform","generalist","27.5","3","Sebastes miniatus"
"half banded rockfish","gill",Black croaker,"not applicable","402","58","35","zooplankton_ amphipods_ crustaceans_ shrimp_","5.1","3210","3.506505032","116","Sebastes semicinctus","hook and line survey","16.2","2.5","15.7","muddy bottom, rocky reef, mid-depth reefs","neritic","0.930528979","half banded rockfish","17.7","71","Sebastes semicinctus","FMP_29","320568","51.6","51.6","15","not applicable","25","25","rod and reel","8","264","Sebastidae","Sebastes","Sebastes semicinctus","Perciformes","0.288135593","0.141242938","0.88700565","gill tissue","fish gill","kelp forrest","Labriform","generalist","17.7","2","Sebastes semicinctus"
"honeycomb rockfish","gill",Black croaker,"not applicable","119","30","30","small fish_ crabs_ shrimp","8.5","2486","3.395501124","116","Sebastes umbrosus","hook and line survey","28.3","6","32","rock reef, benthic","neritic","1.718414599","honeycomb rockfish","28.6","96","Sebastes umbrosus","FMP_3","72105","402","402","not applicable","0.57","30","29.8","rod and reel","8","277","Sebastidae","Sebastes","Sebastes umbrosus","Perciformes","0.297202797","0.20979021","1.118881119","gill tissue","fish gill","rocky reef","Labriform","generalist","28.6","3","Sebastes umbrosus"
"squarespot rockfish","gill",Black croaker,"NE","183","18","50","plankton_ copepods_ crab larvae","6.2","5280","3.722633923","116","Sebastes hopkinsi","hook and line","24","3.1","53","shallow, mid, deep reef","neritic","1.0848","squarespot rockfish","25","86","Sebastes hopkinsi","FMP_38","72080","169.5","169.5","19","not applicable","29","29","rod and reel","7","197","Sebastidae","Sebastes","Sebastes hopkinsi","Perciformes","0.248","0.124","2.12","gill tissue","fish gill","rocky reef","Labriform","generalist","25","2","Sebastes hopkinsi"
"greenspotted rockfish","gill",Black croaker,"not applicable","201","49","50","euphausids_ tunicates_ small fishes","7.4","4075","3.610127613","116","Sebastes chlorostictus","hook and line","24.5","4.5","31.5","caves, crevices, rock reef","neritic","1.442256203","greenspotted rockfish","24.5","49","Sebastes chlorostictus","FMP_39","72064","212.1","212.1","33","1","50","50","rod and reel","7","223","Sebastidae","Sebastes","Sebastes chlorostictus","Perciformes","0.302040816","0.183673469","1.285714286","gill tissue","fish gill","rocky reef","Labriform","generalist","24.5","3","Sebastes chlorostictus"
"starry rockfish","gill",Black croaker,"NE","274","24","30","small fish_ crabs_ shrimp","6","2486","3.395501124","116","Sebastes constellatus","hook and line survey","22.1","3.5","36","deep reefs","neritic","1.83437604","starry rockfish","22.1","48","Sebastes constellatus","FMP_4","72066","198","198","32","1","46","46","rod and reel","8","297","Sebastidae","Sebastes","Sebastes constellatus","Perciformes","0.271493213","0.158371041","1.628959276","gill tissue","fish gill","rocky reef","Labriform","generalist","22.1","3","Sebastes constellatus"
"California scorpionfish","gill",Black croaker,"DD","183","26","30","octopus_ crab_ small fish","4.5","2812","3.449015316","116","Scorpaena guttata","hook and line survey","17.9","2.5","23.5","rocky reef, kelp","neritic","1.708704577","California scorpionfish","17.9","42","Scorpaena guttata","FMP_41","72114","98","98","21","not applicable","57.9","43","rod and reel","8","301","Scorpaenidae","Scorpaena","Scorpaena guttata","Perciformes","0.251396648","0.139664804","1.312849162","gill tissue","fish gill","kelp forrest","Cottiform","accelerator","17.9","3","Scorpaena guttata"
"brown rockfish","gill",Black croaker,"DD","128","0","30","fish_ crab_ shrimp","6.3","3440","3.536558443","116","Sebastes auriculatus","hook and line survey","23.7","4","23.5","not applicable","neritic","1.472506092","brown rockfish","23.5","42","Sebastes auriculatus","FMP_42","72057","191.1","191.1","34","not applicable","56","56","rod and reel","8","272","Sebastidae","Sebastes","Sebastes auriculatus","Perciformes","0.268085106","0.170212766","1","gill tissue","fish gill","kelp forrest","Labriform","generalist","23.5","3","Sebastes auriculatus"
"gopher rockfish","gill",Black croaker,"NE","55","0","30","fish_ benthic crustaceans_ cephalopods","7","2486","3.395501124","116","Sebastes carnatus","hook and line survey","25.5","4.5","34.5","not applicable","neritic","1.905752689","gopher rockfish","25.5","65","Sebastes carnatus","FMP_5","72062","316","316","30","not applicable","43","39","rod and reel","8","257","Sebastidae","Sebastes","Sebastes carnatus","Perciformes","0.274509804","0.176470588","1.352941176","gill tissue","fish gill","rocky reef","Labriform","generalist","25.5","3","Sebastes carnatus"
