"common_name","sample_type","collection_date","conservation_status","depth_high_range_m","depth_low_range_m","Depth_m","Diet","dist_to_dorsal_cm","distance_from_shore_m","distance_from_shore_m_log","evo_distanceto_mackerel_median_mya","evo_timetree_species_name","fish_collection_method","fl_cm","gape_cm","gi_cm","hab_notes","habitat_depth_level2","host_body_mass_index","host_common_name","host_height","host_height_vs_max_height_tl","host_scientific_name","host_subject_id","host_taxid","host_weight","mass_g","max_age","max_kg_grams","max_length_cm","max_tl_cm","method_gear","month","number_db","p_family","p_genus","p_genus_species_alternative","p_order","ratio_dorsal_to_tl","ratio_gape_to_tl","ratio_gi_to_tl","sample_type_descriptive","SAMPLE_TYPE","substrata_collection","swim_mode","swim_performance","tl_cm","trophic","p_genus_species"
"starry rockfish","gill",bigfin eelpout,"NE","274","24","30","small fish_ crabs_ shrimp","6","2486","3.395501124","116","Sebastes constellatus","hook and line survey","22.1","3.5","36","deep reefs","neritic","1.83437604","starry rockfish","22.1","48","Sebastes constellatus","FMP_4","72066","198","198","32","1","46","46","rod and reel","8","297","Sebastidae","Sebastes","Sebastes constellatus","Perciformes","0.271493213","0.158371041","1.628959276","gill tissue","fish gill","rocky reef","Labriform","generalist","22.1","3","Sebastes constellatus"
"Northern anchovy","gill",longjaw mudsucker,"LC","219","0","5","euphausiids_ copepods_ decapod larvae","6.1","195","2.290034611","224","Engraulis mordax","bait barge","12.4","2.3","8","not applicable","neritic","0.624830775","Northern anchovy","13.3","54","Engraulis mordax","FMP_40","239368","14.7","14.7","7","0.068","54.2","24.8","net","7","323","Engraulidae","Engraulis","Engraulis mordax","Clupeiformes","0.458646617","0.172932331","0.601503759","gill tissue","fish gill","sandy mud bottom","Carangiform","crusier sprinter","13.3","2","Engraulis mordax"
"California scorpionfish","gill",Pacific chub mackerel,"DD","183","26","30","octopus_ crab_ small fish","4.5","2812","3.449015316","116","Scorpaena guttata","hook and line survey","17.9","2.5","23.5","rocky reef, kelp","neritic","1.708704577","California scorpionfish","17.9","42","Scorpaena guttata","FMP_41","72114","98","98","21","not applicable","57.9","43","rod and reel","8","301","Scorpaenidae","Scorpaena","Scorpaena guttata","Perciformes","0.251396648","0.139664804","1.312849162","gill tissue","fish gill","kelp forrest","Cottiform","accelerator","17.9","3","Scorpaena guttata"
"brown rockfish","gill",vermilion rockfish,"DD","128","0","30","fish_ crab_ shrimp","6.3","3440","3.536558443","116","Sebastes auriculatus","hook and line survey","23.7","4","23.5","not applicable","neritic","1.472506092","brown rockfish","23.5","42","Sebastes auriculatus","FMP_42","72057","191.1","191.1","34","not applicable","56","56","rod and reel","8","272","Sebastidae","Sebastes","Sebastes auriculatus","Perciformes","0.268085106","0.170212766","1","gill tissue","fish gill","kelp forrest","Labriform","generalist","23.5","3","Sebastes auriculatus"
"california tonguefish","gill",bigfin eelpout,"LC","201","2","3","fish_ invertebrates","0.6","235","2.371067862","116","Symphurus atricaudus","HSW gillnet survey","16.8","0.4","24","not applicable","neritic","0.957154095","california tonguefish","16.9","80","Symphurus atricaudus","FMP_43","305513","46.2","46.2","not applicable","not applicable","21","21","gillnet","6","359","Cynoglossidae","Symphurus","Symphurus atricaudus","Pleuronectiformes","0.035502959","0.023668639","1.420118343","gill tissue","fish gill","sandy mud bottom","Plueronectiform","flow refuging","16.9","3","Symphurus atricaudus"
"yellowfin croaker","gill",longjaw mudsucker,"LC","60","10","3","fish_ crustaceans_ worms_ bivalves","7","136","2.133538908","116","Umbrina cirrosa","HSW gillnet survey","25","1.6","27.4","not applicable","neritic","1.072293227","yellowfin croaker","25.9","46","Umbrina roncador","FMP_44","320399","186.3","186.3","not applicable","2.5","55.6","56","gillnet","6","350","Sciaenidae","Umbrina","Umbrina roncador","Perciformes","0.27027027","0.061776062","1.057915058","gill tissue","fish gill","sandy mud bottom","Subcarangiform","generalist","25.9","3","Umbrina roncador"
"californian salema","gill",Pacific chub mackerel,"LC","11","1","3","mysid_ isopod_ amphipod_ small fish_ polychaete_ ostracods_ nebaliaceans_ caridean_ copepods","5.1","136","2.133538908","116","Xenistius californiensis","HSW gillnet survey","16.3","2.8","19","rocky reef, kelp bed","neritic","1.213655044","californian salema","17.7","59","Brachygenys californiensis","FMP_45","314000","67.3","67.3","not applicable","not applicable","30.3","30","gillnet","6","452","Haemulidae","Haemulon","Xenistius californiensis","Perciformes","0.288135593","0.15819209","1.073446328","gill tissue","fish gill","sandy mud bottom","Subcarangiform","generalist","17.7","3","Xenistius californiensis"
"spotfin croaker","gill",vermilion rockfish,"LC","22","1","3","invertebrates (worms_ clams_ crabs_ crustaceans)","9.8","136","2.133538908","116","Pachyurus junki","HSW gillnet survey","36.5","3.4","43.5","not applicable","neritic","1.454293629","spotfin croaker","38","54","Roncador stearnsii","FMP_46","320398","798","798","15","not applicable","68.6","70","gillnet","6","349","Sciaenidae","Roncador","Roncador stearnsii","Perciformes","0.257894737","0.089473684","1.144736842","gill tissue","fish gill","sandy mud bottom","Subcarangiform","generalist","38","2","Roncador stearnsii"
"haller's round ray","gill",bigfin eelpout,"LC","91","0","3","benthic invertebrates_ small fish","not collected","160","2.204119983","465","Urolophus halleri","HSW gillnet survey","30.6","1.1","16.5","not applicable","neritic","1.074945478","haller's round ray","30.6","53","Urobatis halleri","FMP_47","86675","308","308","not applicable","1.4","58","58","gillnet","6","377","Urotrygonidae","Urolophus","Urolophus halleri","Myliobatiformes","not applicable","0.035947712","0.539215686","gill tissue","fish gill","sandy mud bottom","Rajiform","flow refuging","30.6","3","Urolophus halleri"
"specklefin midshipman","gill",longjaw mudsucker,"LC","126","0","3","fish_ octopus_ crustacean","13.2","100","2","116","Porichthys plectrodon","HSW gillnet survey","44","3.5","56.5","bay, rocky, soft bottom,","intertidal","1.171911111","specklefin midshipman","37.5","74","Porichthys myriaster","FMP_48","262771","618","618","not applicable","not applicable","51","51","gillnet","6","312","Batrachoididae","Porichthys","Porichthys myriaster","Batrachoidiformes","0.352","0.093333333","1.506666667","gill tissue","fish gill","sandy mud bottom","Labriform","generalist","37.5","3","Porichthys myriaster"
