"common_name","sample_type","collection_date","conservation_status","depth_high_range_m","depth_low_range_m","Depth_m","Diet","dist_to_dorsal_cm","distance_from_shore_m","distance_from_shore_m_log","evo_distanceto_mackerel_median_mya","evo_timetree_species_name","fish_collection_method","fl_cm","gape_cm","gi_cm","hab_notes","habitat_depth_level2","host_body_mass_index","host_common_name","host_height","host_height_vs_max_height_tl","host_scientific_name","host_subject_id","host_taxid","host_weight","mass_g","max_age","max_kg_grams","max_length_cm","max_tl_cm","method_gear","month","number_db","p_family","p_genus","p_genus_species_alternative","p_order","ratio_dorsal_to_tl","ratio_gape_to_tl","ratio_gi_to_tl","sample_type_descriptive","SAMPLE_TYPE","substrata_collection","swim_mode","swim_performance","tl_cm","trophic","p_genus_species"
"dolphinfish","gill",longjaw mudsucker,"LC","10","5","38","fish_ zooplankton_ crustacean_ squid","6.9","39920","4.601190533","116","Coryphaena hippurus","hook and line","51","5","23","pelagic surface","neritic","0.866128798","dolphinfish","60.5","29","Coryphaena hippurus","FMP_115","34814","1918","1918","4","40","210","210","rod and reel","9","A14","Coryphaenidae","Coryphaena","Coryphaena hippurus","Carangiformes","0.114049587","0.082644628","0.380165289","gill tissue","fish gill","surface","Thunniform","crusier sprinter","60.5","3","Coryphaena hippurus"
"rainwater killifish","gill",Pacific chub mackerel,"LC","2","0","0.5","larval crustaceans cyclopoid and harpacticoid copepods_ mosquito larvae_ worms_ mollusks","not collected","3","0.477121255","116","Lucania","fish trap","not collected","not applicable","not applicable","vegetatd quiet water","intertidal","#DIV/0!","rainwater killifish","not collected","not collected","Lucania parva","FMP_116","722640","not applicable","not applicable","not applicable","not applicable","6.2","6.2","net","9","A18","Fundulidae","Lucania","Lucania parva","Cyprinodontiformes","not applicable","not applicable","not applicable","gill tissue","fish gill","muddy bottom","Esociform","accelerator","not collected","2","Lucania parva"
"northern searobin","gill",vermilion rockfish,"LC","170","15","24","shrimp_ crabs_ crustacean_ squid bivalves_ small fish","5.3","11705","4.068371418","116","Prionotus carolinus","hook and line","22.9","1.9","40.1","sandy bottom","neritic","0.851404216","northern searobin","24.7","65","Prionotus carolinus","FMP_105","1266880","128.3","128.3","not applicable","not applicable","38","38","rod and reel","9","A2","Triglidae","Prionotus","Prionotus carolinus","Perciformes","0.214574899","0.076923077","1.623481781","gill tissue","fish gill","sandy bottom","Cottiform","accelerator","24.7","3","Prionotus carolinus"
"little skate","gill",bigfin eelpout,"NT","329","0","22","bottom dwelling organisms: crab_ shrimp_ polychaetes_ mollusks_ squid_ bony fish","38","13677","4.135990847","465","Amblyraja radiata","hook and line","44.2","1.6","33.4","sandy or gravel bottoms","neritic","0.56861025","little skate","44.2","82","Leucoraja erinacea","FMP_117","7782","491","491","12","not applicable","54","54","rod and reel","9","A20","Rajidae","Leucoraja","Leucoraja erinacea","Rajiformes","0.859728507","0.036199095","0.755656109","gill tissue","fish gill","shipwreck","Rajiform","flow refuging","44.2","3","Leucoraja erinacea"
"yellowfin tuna","gill",longjaw mudsucker,"NT","250","0","152","fish_ squid_ crustraceans","37","145050","5.161517733","52","Thunnus albacares","green stick","123","14.6","82.1","not applicable","neritic","1.382716049","yellowfin tuna","135","56","Thunnus albacares","FMP_118","8236","34020","34020","9","200","239","239","net","9","A21","Scombridae","Thunnus","Thunnus albacares","Scombriformes","0.274074074","0.108148148","0.608148148","gill tissue","fish gill","rocky shelf","Thunniform","crusier sprinter","135","3","Thunnus albacares"
"bluefish","gill",Pacific chub mackerel,"VU","200","0","17.2","fish_ crustaceans_ squid","15.7","140","2.146128036","60","Pomatomus saltatrix","hook and line","42","5.2","41.9","rocky beaches, estuaries, shallow cosatl water","neritic","1.007033781","bluefish","46.4","36","Pomatomus saltatrix","FMP_119","75034","1006","1006","9","14.4","130","130","rod and reel","9","A22","Pomatomidae","Pomatomus","Pomatomus saltatrix","Scombriformes","0.338362069","0.112068966","0.903017241","gill tissue","fish gill","rocky bottom","Carangiform","crusier sprinter","46.4","3","Pomatomus saltatrix"
"striped bass","gill",vermilion rockfish,"LC","30","0","3","fishes (alewives_ herring_ smelt_ eels_ flounder_ gunnel_ hake) inverts: squid crab worms_ amphipods_ crustaceans","18.8","3","0.477121255","116","Morone saxatilis","hook and line","54.9","6.6","57.5","bays, rivers,","neritic","0.994081913","striped bass","57.4","29","Morone saxatilis","FMP_120","34816","1880","1880","30","57","200","200","rod and reel","9","A23","Moronidae","Morone","Morone saxatilis","Perciformes","0.327526132","0.114982578","1.00174216","gill tissue","fish gill","muddy bottom","Carangiform","crusier sprinter","57.4","4","Morone saxatilis"
"black seabass","gill",bigfin eelpout,"LC","130","1","30","crab_ shrimp_ small fish_ lobsters","8.5","12920","4.111262514","116","Centropristis striata","hook and line","33.5","4.7","32.5","rocky jetties, shallow water","neritic","0.744618228","black seabass","33.9","51","Centropristis striata","FMP_106","184440","290.09","290.09","20","4.3","66","66","rod and reel","9","A3","Serranidae","Centropristis","Centropristis striata","Perciformes","0.250737463","0.138643068","0.958702065","gill tissue","fish gill","shipwreck","Labriform","generalist","33.9","3","Centropristis striata"
"silver perch","gill",longjaw mudsucker,"LC","40","5","1","crustaceans_ worms_ fishes","3.2","3","0.477121255","116","Bairdiella chrysoura","fish trap","11","1.6","8.3","sandy, muddy bottom, estuaries, some fw","neritic","1.277235162","silver perch","11","37","Bairdiella chrysoura","FMP_107","331523","17","17","not applicable","not applicable","30","30","net","9","A4","Sciaenidae","Bairdiella","Bairdiella chrysoura","Perciformes","0.290909091","0.145454545","0.754545455","gill tissue","fish gill","muddy bottom","Subcarangiform","generalist","11","3","Bairdiella chrysoura"
"mummichog","gill",Pacific chub mackerel,"LC","1","0","0.5","plant detritus_ mites_ nematodes_ worms_ copepods","4.5","3","0.477121255","116","Fundulus heteroclitus","fish trap","8.4","0.9","12.7","saltwater marshes, creeks, fw, intertidal","intertidal","1.489782421","mummichog","8.4","56","Fundulus heteroclitus","FMP_108","8078","8.83","8.83","4","not applicable","15","15","net","9","A5","Fundulidae","Fundulus","Fundulus heteroclitus","Cyprinodontiformes","0.535714286","0.107142857","1.511904762","gill tissue","fish gill","muddy bottom","Esociform","accelerator","8.4","2","Fundulus heteroclitus"
"atlantic menhaden","gill",vermilion rockfish,"LC","50","0","2","phytoplankton (diatoms)_ zooplankon_ crustaceans_ annelid worms_ detritutes","6.2","3","0.477121255","224","Brevoortia tyrannus","cast net","13.8","2.7","60.8","continental shelf, river, bay","neritic","0.968261719","atlantic menhaden","16","32","Brevoortia tyrannus","FMP_109","224708","39.66","39.66","not applicable","not applicable","50","50","net","9","A8","Clupeidae","Brevoortia","Brevoortia tyrannus","Clupeiformes","0.3875","0.16875","3.8","gill tissue","fish gill","surface","Carangiform","crusier sprinter","16","2","Brevoortia tyrannus"
"striped blenny","gill",bigfin eelpout,"LC","30","1","1","zooplantkton","1.4","3","0.477121255","116","Lipophrys pholis","fish trap","7.4","1.2","9.7","oyster beds, hard bottom","neritic","1.399226107","striped blenny","7.4","49","Chasmodes bosquianus","FMP_110","521180","5.67","5.67","not applicable","not applicable","15","15","net","9","A9","Blenniidae","Chasmodes","Chasmodes bosquianus","Blenniiformes","0.189189189","0.162162162","1.310810811","gill tissue","fish gill","muddy bottom","Cottiform","accelerator","7.4","2","Chasmodes bosquianus"
